epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,593.172,1.31712,0.97378,1.27912,0.83686,0.74462,0.83624,0.49898,1.34495,0.93047,1.32929,0.0011882,0.0011882,0.0011882
43,607.242,1.31137,0.9584,1.26829,0.83448,0.76882,0.8334,0.50533,1.3403,0.90659,1.3391,0.0011684,0.0011684,0.0011684
44,621.262,1.29444,0.94934,1.27126,0.80586,0.76436,0.83598,0.49566,1.36198,0.92513,1.36129,0.0011486,0.0011486,0.0011486
45,635.329,1.28185,0.93257,1.26063,0.82942,0.77554,0.83868,0.51769,1.30034,0.90084,1.30849,0.0011288,0.0011288,0.0011288
46,649.335,1.28263,0.92203,1.26334,0.81637,0.79472,0.85093,0.52015,1.31619,0.87342,1.30791,0.001109,0.001109,0.001109
47,663.424,1.28674,0.91839,1.25053,0.85514,0.75379,0.84752,0.5172,1.31495,0.88983,1.29849,0.0010892,0.0010892,0.0010892
48,677.491,1.28896,0.92011,1.25472,0.81147,0.78495,0.83565,0.51686,1.30462,0.88229,1.28452,0.0010694,0.0010694,0.0010694
49,691.554,1.26758,0.91343,1.2475,0.84951,0.77151,0.85314,0.51307,1.32223,0.86668,1.30948,0.0010496,0.0010496,0.0010496
50,705.611,1.28569,0.91043,1.24591,0.82812,0.80242,0.8576,0.51963,1.33329,0.8673,1.31946,0.0010298,0.0010298,0.0010298
51,719.68,1.26012,0.88563,1.22718,0.83364,0.76784,0.84633,0.50423,1.34729,0.86651,1.32707,0.00101,0.00101,0.00101
52,733.739,1.26203,0.87927,1.23953,0.82808,0.8078,0.85844,0.51416,1.30791,0.85586,1.31873,0.0009902,0.0009902,0.0009902
53,747.968,1.23844,0.88867,1.23132,0.84777,0.78898,0.85579,0.52085,1.31127,0.84861,1.3094,0.0009704,0.0009704,0.0009704
54,762.275,1.25958,0.86225,1.23022,0.84421,0.79387,0.84242,0.51762,1.30539,0.8454,1.29026,0.0009506,0.0009506,0.0009506
55,776.397,1.24766,0.87262,1.22562,0.85175,0.78898,0.85909,0.52484,1.30151,0.83216,1.30421,0.0009308,0.0009308,0.0009308
56,790.41,1.22625,0.84274,1.22245,0.81852,0.8002,0.841,0.51164,1.31,0.84016,1.31421,0.000911,0.000911,0.000911
57,804.45,1.2326,0.86243,1.22037,0.82319,0.81349,0.84283,0.51394,1.31167,0.86381,1.30482,0.0008912,0.0008912,0.0008912
58,818.508,1.22235,0.84523,1.21702,0.85887,0.79344,0.85658,0.51827,1.29197,0.84269,1.30791,0.0008714,0.0008714,0.0008714
59,832.621,1.22753,0.83949,1.21482,0.8348,0.80914,0.85755,0.52415,1.30976,0.82875,1.3039,0.0008516,0.0008516,0.0008516
60,846.505,1.22911,0.84203,1.21714,0.84151,0.78898,0.84843,0.5257,1.29486,0.83798,1.30163,0.0008318,0.0008318,0.0008318
61,860.373,1.21736,0.83415,1.21739,0.83314,0.79864,0.85498,0.52876,1.28803,0.79947,1.29799,0.000812,0.000812,0.000812
62,874.341,1.20916,0.81729,1.21364,0.8555,0.79301,0.849,0.53208,1.28663,0.81343,1.31304,0.0007922,0.0007922,0.0007922
63,888.273,1.21138,0.83146,1.21362,0.84684,0.80108,0.85198,0.52689,1.28693,0.81766,1.29568,0.0007724,0.0007724,0.0007724
64,902.217,1.19029,0.80796,1.19121,0.85219,0.80592,0.84976,0.52585,1.29761,0.81075,1.28851,0.0007526,0.0007526,0.0007526
65,916.092,1.18338,0.79165,1.1934,0.86829,0.7975,0.84265,0.51463,1.30952,0.80739,1.31768,0.0007328,0.0007328,0.0007328
66,930.059,1.19778,0.80524,1.20267,0.84267,0.80914,0.85268,0.52592,1.29646,0.79766,1.30065,0.000713,0.000713,0.000713
67,944.053,1.17519,0.77324,1.18554,0.87713,0.77719,0.85754,0.51922,1.3085,0.80321,1.30571,0.0006932,0.0006932,0.0006932
68,958.011,1.18827,0.79314,1.19285,0.84462,0.78174,0.84817,0.52385,1.27492,0.81815,1.29267,0.0006734,0.0006734,0.0006734
69,971.977,1.18452,0.77782,1.19307,0.84423,0.80645,0.84828,0.52246,1.29966,0.79843,1.30849,0.0006536,0.0006536,0.0006536
70,985.903,1.18078,0.7657,1.19003,0.83626,0.83064,0.85824,0.52289,1.28493,0.79947,1.28235,0.0006338,0.0006338,0.0006338
71,999.88,1.17009,0.76532,1.18763,0.84912,0.80936,0.86316,0.52914,1.29917,0.78334,1.30919,0.000614,0.000614,0.000614
72,1013.95,1.16822,0.76847,1.18426,0.82191,0.83737,0.84985,0.52477,1.29235,0.79226,1.29802,0.0005942,0.0005942,0.0005942
73,1027.99,1.15736,0.75363,1.16776,0.85247,0.81048,0.85838,0.52642,1.30334,0.7925,1.31548,0.0005744,0.0005744,0.0005744
74,1042.07,1.14608,0.75283,1.16307,0.86381,0.80242,0.85934,0.5207,1.2923,0.80094,1.29912,0.0005546,0.0005546,0.0005546
75,1056.11,1.13644,0.73653,1.15892,0.85456,0.81343,0.8536,0.52582,1.31594,0.80118,1.31875,0.0005348,0.0005348,0.0005348
76,1070.11,1.16526,0.7426,1.18378,0.86267,0.78763,0.85929,0.52914,1.29135,0.78789,1.30457,0.000515,0.000515,0.000515
77,1084.13,1.15225,0.74327,1.1668,0.82845,0.8293,0.86019,0.52974,1.28915,0.80623,1.2965,0.0004952,0.0004952,0.0004952
78,1098.12,1.13524,0.73198,1.15917,0.86658,0.79167,0.85766,0.52753,1.29991,0.80049,1.29761,0.0004754,0.0004754,0.0004754
79,1112.13,1.13108,0.71917,1.16609,0.84738,0.80511,0.8609,0.52884,1.29479,0.79453,1.29851,0.0004556,0.0004556,0.0004556
80,1126.18,1.13497,0.72353,1.16105,0.83347,0.82745,0.85284,0.52947,1.29961,0.79186,1.30065,0.0004358,0.0004358,0.0004358
81,1140.22,1.12678,0.71472,1.16371,0.83111,0.83342,0.86127,0.53073,1.30134,0.78737,1.3108,0.000416,0.000416,0.000416
82,1154.26,1.1079,0.70215,1.15043,0.83343,0.82258,0.85661,0.52896,1.29373,0.78734,1.299,0.0003962,0.0003962,0.0003962
83,1168.27,1.11012,0.69701,1.14845,0.84832,0.81939,0.85735,0.5281,1.29481,0.79037,1.29999,0.0003764,0.0003764,0.0003764
84,1182.29,1.10859,0.69165,1.14747,0.84991,0.82661,0.8646,0.53121,1.28467,0.78998,1.30123,0.0003566,0.0003566,0.0003566
85,1196.32,1.10375,0.71091,1.13903,0.85895,0.80242,0.86422,0.53063,1.29728,0.78634,1.3115,0.0003368,0.0003368,0.0003368
86,1210.32,1.11109,0.69725,1.15447,0.85498,0.80034,0.85955,0.53279,1.29009,0.78463,1.30376,0.000317,0.000317,0.000317
