epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,921.153,1.54357,2.13333,1.36259,0.01071,1.324,0.63256,0.60484,0.62612,0.33957,0.63116,0.60349,0.61697,0.31285,1.53756,2.26501,1.52402,0.01407,0,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,961.137,1.57584,2.14895,1.3672,0.01089,1.32847,0.73344,0.69624,0.74769,0.42465,0.73558,0.69758,0.74757,0.41762,1.46329,2.04609,1.11014,0.01308,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1000.94,1.56339,2.15193,1.35122,0.01102,1.37138,0.73867,0.72984,0.77089,0.43959,0.72733,0.71909,0.75666,0.42307,1.46593,2.11542,1.04628,0.01314,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1041.17,1.56486,2.15558,1.32361,0.01068,1.3207,0.74949,0.6922,0.75419,0.43999,0.73375,0.69758,0.74859,0.419,1.44553,2.11156,1.10218,0.01295,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1081.15,1.5629,2.14582,1.34741,0.0108,1.34043,0.68937,0.66935,0.70225,0.39369,0.71025,0.67204,0.70447,0.37369,1.49679,2.18124,1.27138,0.01343,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1121.5,1.53663,2.12963,1.30478,0.01077,1.27234,0.66045,0.58737,0.64055,0.34795,0.66196,0.58871,0.63613,0.32295,1.57736,2.31266,1.51017,0.01449,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1161.97,1.52168,2.14375,1.28964,0.01042,1.24339,0.74216,0.68011,0.75423,0.43616,0.74363,0.68145,0.75281,0.41479,1.43825,2.08709,1.11386,0.01293,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,1202.28,1.54921,2.12836,1.27521,0.01071,1.23324,0.75958,0.70699,0.77856,0.45021,0.75832,0.70161,0.77751,0.42608,1.41084,2.08154,1.0486,0.01247,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,1242.13,1.55011,2.12087,1.25848,0.01065,1.24168,0.7579,0.69086,0.77558,0.46186,0.7685,0.68712,0.77133,0.43602,1.39111,2.02464,1.03,0.01233,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,1281.64,1.52455,2.07161,1.23294,0.01039,1.1981,0.7618,0.66935,0.75358,0.43152,0.76721,0.67742,0.76292,0.40612,1.43885,2.11154,1.08013,0.0127,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
