epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,605.886,1.35389,2.1284,1.10613,1.27011,0,0.76412,0.77957,0.82318,0.50272,0.76409,0.77823,0.8184,0.46241,1.31715,2.09124,0.98521,1.27764,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,631.53,1.32767,2.08278,1.08047,1.24718,0,0.71809,0.74462,0.78865,0.4788,0.71939,0.74597,0.78792,0.44152,1.32934,2.12389,1.01998,1.29071,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,656.982,1.31653,2.08008,1.0631,1.23649,0,0.79668,0.72446,0.80224,0.4903,0.79789,0.72696,0.79464,0.45245,1.28557,2.08226,1.02502,1.27316,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,682.44,1.32531,2.08175,1.0961,1.24904,0,0.76831,0.76478,0.8089,0.50909,0.7727,0.76613,0.80841,0.46766,1.27221,2.05766,0.97194,1.24766,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,707.868,1.29351,2.06542,1.05852,1.23651,0,0.77531,0.76525,0.81198,0.49678,0.79114,0.74328,0.80015,0.44378,1.29288,2.18991,0.9923,1.28041,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,733.523,1.29386,2.07077,1.04149,1.22616,0,0.7703,0.74059,0.79783,0.48711,0.76764,0.74194,0.79369,0.44722,1.3135,2.16857,1.00366,1.27239,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,758.934,1.30543,2.05624,1.05314,1.23387,0,0.77896,0.77151,0.81547,0.50915,0.78454,0.77327,0.8203,0.46619,1.26758,2.06859,0.96825,1.25401,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,784.352,1.30355,2.06114,1.03494,1.22585,0,0.80773,0.77016,0.83934,0.51211,0.80246,0.76747,0.82995,0.46697,1.26436,2.05632,0.94258,1.23459,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,809.781,1.28885,2.01153,1.01568,1.22245,0,0.80571,0.77957,0.83179,0.50714,0.797,0.78226,0.82482,0.47327,1.24938,2.08403,0.93079,1.24056,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,835.223,1.27647,2.01204,1.01351,1.22002,0,0.76596,0.75538,0.80785,0.51069,0.76887,0.75672,0.80444,0.46288,1.25644,2.10966,0.96601,1.24355,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
